                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.58325,                 3.2388,                 1.0031,                0.00815,                0.97222,                0.26322,                0.23355,                0.31265,                 3.0245,                0.84884,                 0.0964,                 0.0004,                 0.0004
                      1,                0.50014,                 3.1932,                0.98075,                0.00834,                0.97222,                0.41242,                0.35707,                0.38506,                 2.9891,                0.84798,               0.091864,             0.00086436,             0.00086436
                      2,                0.47097,                 2.8471,                0.95644,                0.00849,                      1,                0.51973,                0.47821,                0.32118,                 2.8854,                0.81143,               0.087289,              0.0012891,              0.0012891
                      3,                 0.3928,                 2.0718,                0.89126,                 0.0084,                      1,                0.56554,                0.51421,                 0.3521,                 2.7423,                0.81774,               0.082674,              0.0016743,              0.0016743
                      4,                 0.4563,                 1.8697,                0.93795,                0.00852,                      1,                0.56751,                0.51197,                0.38973,                 2.5743,                0.82332,                0.07802,              0.0020198,              0.0020198
                      5,                0.45107,                 1.7312,                 0.9256,                0.00867,                      1,                0.58328,                0.54277,                0.37173,                  2.504,                0.81369,               0.073326,              0.0023258,              0.0023258
                      6,                0.43411,                 1.6405,                0.88097,                0.00872,                      1,                0.57224,                 0.5273,                0.38773,                 2.5685,                 0.8031,               0.068592,              0.0025922,              0.0025922
                      7,                0.46683,                 1.6062,                0.91169,                0.00858,                      1,                0.58914,                0.53867,                0.37259,                 2.4859,                0.80577,               0.063819,              0.0028189,              0.0028189
                      8,                0.44077,                 1.5526,                0.88593,                0.38621,                0.13889,                0.58747,                0.54998,                0.35977,                 2.2565,                0.80777,               0.059006,              0.0030061,              0.0030061
                      9,                0.42756,                 1.4338,                0.89079,                0.45215,                      1,                0.56702,                0.52361,                0.37403,                 2.3335,                0.81575,               0.054154,              0.0031536,              0.0031536
                     10,                0.48453,                 1.4305,                0.91908,                0.47142,                0.97425,                0.56821,                0.51935,                0.40856,                  2.291,                0.81783,               0.049262,              0.0032616,              0.0032616
                     11,                 0.4485,                 1.3897,                0.90798,                0.88162,                0.26389,                0.58915,                0.52904,                0.42199,                 2.1432,                0.82309,                0.04433,                0.00333,                0.00333
                     12,                0.44906,                 1.3316,                0.88456,                0.62219,                0.45351,                0.59125,                0.54621,                0.39766,                 2.0581,                0.82076,               0.039359,              0.0033587,              0.0033587
                     13,                0.42279,                 1.2853,                0.87407,                 0.5001,                 0.6252,                0.59262,                0.55106,                0.37293,                 1.9473,                0.82336,               0.034348,              0.0033479,              0.0033479
                     14,                0.44923,                  1.298,                0.90782,                0.48708,                0.88694,                0.60845,                0.56929,                0.37648,                 1.7694,                0.81118,               0.029297,              0.0032974,              0.0032974
                     15,                0.35442,                 1.3754,                0.82094,                0.49458,                0.83611,                0.65736,                0.59921,                0.44061,                 1.8226,                  0.815,               0.024207,              0.0032074,              0.0032074
                     16,                0.35326,                 1.3127,                0.82594,                0.51439,                0.84026,                0.68189,                0.63149,                0.40549,                 1.7931,                0.81405,               0.019078,              0.0030778,              0.0030778
                     17,                0.34114,                 1.2949,                0.80852,                0.49173,                0.78611,                0.69281,                0.64845,                0.37675,                 1.7105,                 0.8156,               0.013909,              0.0029085,              0.0029085
                     18,                0.30319,                 1.2227,                0.81571,                0.51065,                0.86111,                0.65223,                0.61589,                0.32093,                 1.5927,                0.80563,              0.0086997,              0.0026997,              0.0026997
                     19,                 0.2837,                 1.1336,                0.81163,                0.48797,                0.88066,                0.69559,                 0.6618,                 0.3174,                 1.4429,                0.79833,              0.0034512,              0.0024512,              0.0024512
                     20,                0.29019,                  1.087,                0.80176,                0.51005,                  0.875,                0.71964,                0.67125,                0.34522,                 1.4334,                0.80539,                0.00208,                0.00208,                0.00208
                     21,                 0.2812,                 1.0675,                0.81289,                 0.6239,                  0.825,                0.77178,                0.74581,                0.30024,                 1.3321,                0.79291,                0.00208,                0.00208,                0.00208
                     22,                  0.256,                 0.9913,                0.80033,                0.67896,                0.86143,                0.85522,                0.82755,                0.28987,                 1.2229,                 0.7932,               0.001684,               0.001684,               0.001684
                     23,                 0.2711,                 0.9761,                0.80725,                 0.8127,                0.76705,                0.87486,                0.84174,                0.29607,                 1.1168,                0.79861,               0.001288,               0.001288,               0.001288
                     24,                0.24557,                0.94389,                0.79069,                 0.8657,                0.76111,                0.89431,                0.86138,                0.29103,                 1.0282,                0.79682,               0.000892,               0.000892,               0.000892
