                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.62126,                 3.2391,                 1.0148,                0.00805,                0.97222,                0.23996,                0.19924,                0.33519,                 3.0296,                0.85867,                 0.0982,                 0.0002,                 0.0002
                      1,                 0.6605,                 3.2891,                 1.0552,                0.00813,                0.97222,                0.25037,                0.21618,                0.33238,                  3.028,                0.85612,                0.09549,              0.0004901,              0.0004901
                      2,                0.57004,                 3.2875,                 1.0075,                0.00817,                0.97222,                0.35124,                0.29336,                0.36013,                  3.005,                0.84588,               0.092768,             0.00076832,             0.00076832
                      3,                0.41635,                 2.9531,                0.92627,                0.00859,                      1,                0.50406,                0.44552,                0.33986,                 2.9495,                0.82544,               0.090035,              0.0010347,              0.0010347
                      4,                0.42941,                 2.6587,                0.91666,                0.00853,                      1,                0.55396,                0.49074,                0.32992,                  2.872,                0.81228,               0.087289,              0.0012891,              0.0012891
                      5,                0.46735,                 2.3207,                 0.9465,                0.00849,                      1,                0.57957,                0.52592,                0.31536,                 2.7609,                0.80038,               0.084532,              0.0015317,              0.0015317
                      6,                0.43896,                 1.8959,                0.91035,                0.00852,                      1,                0.60683,                0.55224,                0.36995,                 2.5468,                0.81601,               0.081762,              0.0017624,              0.0017624
                      7,                0.47455,                 1.7219,                0.91635,                0.00897,                      1,                0.58672,                0.53168,                0.37152,                 2.5412,                0.81326,               0.078981,              0.0019812,              0.0019812
                      8,                0.44394,                 1.6376,                0.89995,                0.00904,                      1,                0.59466,                0.52978,                0.35407,                  2.564,                0.80531,               0.076188,              0.0021882,              0.0021882
                      9,                0.44401,                 1.5315,                0.89063,                0.00893,                      1,                0.62453,                0.55028,                0.35971,                 2.5341,                0.80011,               0.073383,              0.0023832,              0.0023832
                     10,                0.46916,                  1.534,                0.89843,                 0.0086,                      1,                0.59788,                0.54194,                0.38619,                 2.4459,                0.81398,               0.070566,              0.0025664,              0.0025664
                     11,                0.42097,                 1.4592,                0.89905,                0.00839,                      1,                0.59495,                0.55442,                0.34655,                 2.4558,                0.81161,               0.067738,              0.0027377,              0.0027377
                     12,                0.45078,                   1.36,                0.88574,                 0.0084,                      1,                0.59678,                0.55722,                 0.3456,                 2.4034,                0.81166,               0.064897,              0.0028971,              0.0028971
                     13,                 0.4088,                 1.3066,                0.87769,                0.00833,                      1,                0.59577,                0.53299,                0.41285,                 2.3753,                 0.8185,               0.062045,              0.0030447,              0.0030447
                     14,                0.43966,                 1.3184,                0.89971,                0.00831,                      1,                0.58746,                0.53561,                0.38695,                 2.3877,                0.82188,                0.05918,              0.0031803,              0.0031803
                     15,                0.40309,                 1.2768,                0.88546,                0.88671,                0.28457,                0.60611,                0.57612,                0.35198,                 2.2628,                0.81973,               0.056304,              0.0033041,              0.0033041
                     16,                0.41934,                 1.1859,                0.86521,                0.93669,                0.31944,                0.61106,                0.56237,                0.36711,                 2.1484,                0.81119,               0.053416,               0.003416,               0.003416
                     17,                0.38742,                 1.1424,                 0.8772,                 0.9081,                0.43178,                0.67607,                0.64446,                0.31339,                 2.0357,                0.79789,               0.050516,               0.003516,               0.003516
                     18,                0.41367,                 1.1338,                0.86932,                0.84484,                0.45833,                0.65127,                0.60737,                0.41378,                 1.9909,                0.80621,               0.047604,              0.0036042,              0.0036042
